GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;08f9e0ea9f84;;;51;19.12.2025;Freitag;Dezember;2025;17851,14;17,85;333,28;349,8;336,61;331,24;329,34;332,93;801,06;1722,04;1705,77;1513,22;1267,52;1460,35;1840,55;1057,14;754,87;628,82;633,56;477,44;347,2;325,04;327,49;326,84;325,41;323,62
;08f9e0ea9f84;;;51;18.12.2025;Donnerstag;Dezember;2025;26427,35;26,43;332,42;355,3;322,63;356,15;333,72;346,72;935,04;1826,52;1791,22;1799,16;1883,87;1923,13;1662,87;1651,34;2193,93;1896,51;1432,24;1810,66;1657,56;563,19;336,48;350,66;334,3;331,73
;08f9e0ea9f84;;;51;17.12.2025;Mittwoch;Dezember;2025;21688,05;21,69;330,72;333,39;347,48;336,04;324,45;324,91;328,4;727,01;1495,86;1479,13;1815,71;2747,74;1177,97;1247,09;1231,6;1300,53;1303,76;1579,1;1398,23;540,48;331,48;331,66;324,18;331,13
;08f9e0ea9f84;;;51;16.12.2025;Dienstag;Dezember;2025;25816,69;25,82;327,16;349,22;343,4;326,83;331,38;325,78;324,52;985,93;1828,61;1754,39;1595,2;1625,41;1443,82;1326,43;1763,95;2085,83;1817,81;1870,12;2330,04;1417,14;643,09;341,57;329,66;329,4
;08f9e0ea9f84;;;51;15.12.2025;Montag;Dezember;2025;22345,65;22,35;320,9;332,89;344,61;340,54;336,68;331,9;332,18;774,2;1585,93;1627,34;1597,89;1551,69;1293,3;1191,36;1294,71;1502,08;1556,26;1617,05;1394,79;1309,11;714,39;338,46;334,4;322,99
;08f9e0ea9f84;;;50;14.12.2025;Sonntag;Dezember;2025;7846,02;7,85;333,25;334,01;351,41;325,31;324,31;325,03;327,23;331,73;339,9;342,97;323,42;311,12;310,25;311,28;317,85;310,63;316,05;313,04;333,38;336,65;343,21;334,97;324,18;324,84
;08f9e0ea9f84;;;50;13.12.2025;Samstag;Dezember;2025;7848,01;7,85;326,27;329,31;343,61;325,07;330,47;336,18;333,84;327,14;340,36;331,96;326,81;319,34;312,74;310,68;314,96;333,11;308,16;320,55;329,36;331,07;326,59;325,65;340,96;323,82
;08f9e0ea9f84;;;50;12.12.2025;Freitag;Dezember;2025;21692,05;21,69;379,77;388,59;382,65;395,75;387,57;386,58;380,66;844,53;1879,14;2135,93;2156,39;2083,63;1516,17;1835,91;1854,63;1053,42;669,09;717,06;565,03;359,86;332,55;330,24;328,78;328,12
;08f9e0ea9f84;;;50;11.12.2025;Donnerstag;Dezember;2025;30865,37;30,86;345,05;321,5;376,04;357,62;349,95;335,17;335,21;829,59;2118,31;2382,94;2215,64;2108,46;2151,38;1991,22;2221,68;2192,58;2291,19;1911,29;2260,38;1867,59;748,01;380,34;394,18;380,05
;08f9e0ea9f84;;;50;10.12.2025;Mittwoch;Dezember;2025;25799,81;25,8;334,75;329,82;338,93;323,19;325,84;334,6;343,5;900,78;1727,81;1763,16;1684,4;1655,21;1627,52;1613,13;1573,03;1710,08;2016,84;1888,7;2527,65;1274,44;493,78;340,6;339,01;333,04
