GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;c8c9a31b43c8;;;51;19.12.2025;Freitag;Dezember;2025;24668,31;24,67;285,98;363,99;278,4;277,83;276,94;317,11;1593,55;2000,39;3167,05;3057,63;2777,98;2615,49;2018,7;1077,13;1483,86;504,11;294,86;514,77;281,08;277,56;301,6;273,7;293,8;334,8
;c8c9a31b43c8;;;51;18.12.2025;Donnerstag;Dezember;2025;37559,25;37,56;293,65;288,89;318,05;292,07;314,93;609,23;1929,84;2277,23;2401,16;2616,76;2901,41;3368,61;2980,8;2795,22;3403,64;3187,28;2973,89;1781,15;1036,74;484,34;370,56;297,4;312,59;323,81
;c8c9a31b43c8;;;51;17.12.2025;Mittwoch;Dezember;2025;35203,3;35,2;279,96;292,43;337,72;322,94;281,38;282,12;682,31;2492,88;2790,88;2687,64;2928,81;3494,64;3223,22;2992,21;2495,93;2551,42;2469,44;1823,17;837,55;465,3;355,37;314,29;340,95;290,79
;c8c9a31b43c8;;;51;16.12.2025;Dienstag;Dezember;2025;37754,31;37,75;279,92;342,36;279,3;319,36;275,2;320,01;1219,86;2492,89;3373,63;3758,9;3242,01;3164,46;2892,54;2724,75;2752,25;2977,35;2758,71;2378,17;724,82;236,23;321,08;300,38;285,06;309,15
;c8c9a31b43c8;;;51;15.12.2025;Montag;Dezember;2025;36859,13;36,86;385,64;358,77;333,2;367,38;324,35;341,68;765,64;2310,27;2952,33;3093,2;3519,98;3305,93;3305,47;3173,52;3120,53;3384,18;2604,85;1352,12;345;340,17;331,57;291,91;277,38;274,06
;c8c9a31b43c8;;;50;14.12.2025;Sonntag;Dezember;2025;8524,13;8,52;328,6;377,48;355,56;358,13;330,64;327,75;361,49;329,42;370,91;329,66;353,15;360,26;324,99;325,45;354,02;321,16;375,99;424,57;502,07;356,2;344,96;328,81;322,34;360,52
;c8c9a31b43c8;;;50;13.12.2025;Samstag;Dezember;2025;8859,1;8,86;333,3;326;359;359,6;328,5;482,2;501,1;455,5;350,4;328,6;356;351;325,1;325,7;345,5;369,4;317,6;489,7;380,3;381,4;376,8;361;323,8;331,6
;c8c9a31b43c8;;;50;12.12.2025;Freitag;Dezember;2025;38006,77;38,01;311,84;359,61;315,59;293,85;324,38;379,42;1608,46;3734,17;3836,86;3727,51;3971,35;3968,93;4126,67;3812,73;1849,39;1788,3;450,6;517,47;574,05;400,34;355,9;320,2;376,5;353,3
;c8c9a31b43c8;;;50;11.12.2025;Donnerstag;Dezember;2025;41494,1;41,49;268,7;334,34;303,53;309,61;277,35;360,34;1358,73;2665,94;3215,78;3225,14;3921,98;3452,48;3389,81;3687,65;3564,43;3594,68;3273,73;1659,05;563,14;578,22;469,35;365,71;325,68;328,73
;c8c9a31b43c8;;;50;10.12.2025;Mittwoch;Dezember;2025;46952,81;46,95;1142,17;1134,83;1094,68;1099,4;1097,39;1079,88;886,45;2350,09;2857,18;3926,87;3501,73;3702,94;3499,33;3386,55;3308,57;2758,14;2525,11;3760,45;1320,43;907,19;745,17;277,01;310,14;281,11
