GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;ec64c9c06e99;;;51;19.12.2025;Freitag;Dezember;2025;6558,34;6,56;204,16;198,19;199,81;199,81;199,84;200,18;232,75;288,08;364,78;401,06;450,17;468,7;416,43;293,87;295,7;292,2;278,6;280,94;248,22;209,45;209,3;208,5;209;208,6
;ec64c9c06e99;;;51;18.12.2025;Donnerstag;Dezember;2025;6911,86;6,91;195,71;194,07;195,63;199,87;201,59;201,49;260,89;287,62;425,8;528,17;524,53;407,79;396,48;415,77;376,7;375,84;303,37;203,12;202,2;201,2;201,01;203,78;204,52;204,71
;ec64c9c06e99;;;51;17.12.2025;Mittwoch;Dezember;2025;6775,2;6,78;195,63;194,12;195,87;195,76;195,54;195,9;229,46;241,48;356,03;502,38;489,05;465,6;475,55;382,9;357,04;362,24;314,51;246,04;197,14;196,97;197,47;196,45;196,41;195,66
;ec64c9c06e99;;;51;16.12.2025;Dienstag;Dezember;2025;6700,61;6,7;195,54;194,18;195,9;195,59;195,58;195,87;267,16;293,53;400,54;410,34;422,33;462,78;451,23;423,58;370,77;377,45;271,55;196,98;196,4;196,7;197,6;196,82;196,16;196,03
;ec64c9c06e99;;;51;15.12.2025;Montag;Dezember;2025;6375,57;6,38;195,99;194,14;195,77;196,19;195,64;196,01;259,42;316,15;387,8;441,83;349,94;325,73;324,71;351,57;302,06;420,94;305,47;213,46;196,65;196,84;196,84;196,22;196,31;195,61
;ec64c9c06e99;;;50;14.12.2025;Sonntag;Dezember;2025;4692,98;4,69;195,9;194,18;195,61;196,35;195,66;195,6;195,79;196,2;195,8;195,65;195,71;196,01;195,6;195,59;195,59;195,59;195,28;194,9;195,06;194,84;194,99;195,05;196,22;195,81
;ec64c9c06e99;;;50;13.12.2025;Samstag;Dezember;2025;4693,2;4,69;196,4;194,3;196,1;195,7;195,7;195,2;195,2;195,9;195,4;195,2;195,4;196,4;195,7;195,7;195,6;195,5;195,2;195;195,2;195,1;195,4;195,8;195,8;196,3
;ec64c9c06e99;;;50;12.12.2025;Freitag;Dezember;2025;6021,82;6,02;195,71;194,1;195,68;195,66;196,12;195,77;228,71;243,16;467,47;443,57;380,53;435,62;403,71;271,11;210,41;193,67;195,99;196,12;196,09;196,52;197,7;196,8;196;195,6
;ec64c9c06e99;;;50;11.12.2025;Donnerstag;Dezember;2025;6516,81;6,52;199,24;197,75;199,23;199,64;200,46;199,98;232,78;311,48;387,48;469,01;446,48;458,51;363,28;346,74;321,32;315,96;290,02;202,48;180,7;193,5;196,32;196,44;195,71;195,95
;ec64c9c06e99;;;50;10.12.2025;Mittwoch;Dezember;2025;7249,37;7,25;194,48;193,28;194,44;194,45;194,87;194,96;223,88;292,29;496,87;576,26;438,94;436,9;459,8;431,78;460,7;408,59;389,68;214,02;200,84;200,17;200,01;199,92;199,63;199,79
;ec64c9c06e99;;;50;09.12.2025;Dienstag;Dezember;2025;6611,71;6,61;195,08;193,83;195,09;195,06;195,32;195,87;228,35;294,19;366,72;424,81;407,94;422,19;440,67;391,74;350,18;440,8;304,52;181,21;196,57;195,33;195,71;194,79;194,73;194,6
;ec64c9c06e99;;;50;08.12.2025;Montag;Dezember;2025;7541,22;7,54;194,84;193,6;194,78;194,93;194,97;195,3;230,9;279,1;421,96;578,2;413,58;482,9;476,15;481,67;497,91;557,33;483,49;298,98;196,89;192,8;195,73;195,15;194,87;195,19
;ec64c9c06e99;;;49;07.12.2025;Sonntag;Dezember;2025;4667,42;4,67;194,4;193,37;194,48;194,38;194,44;194,41;194,42;194,43;194,42;194,35;194,91;194,98;194,65;194,4;194,35;194,35;194,38;194,31;194,39;194,49;194,64;194,55;195,23;194,69
;ec64c9c06e99;;;49;06.12.2025;Samstag;Dezember;2025;4664,1;4,66;194,6;193,2;194,9;194,7;194,5;194,4;194,6;194,6;194,4;194,4;194,4;194,9;194,4;194,3;194,3;194,3;194,2;193,8;193,8;193,8;194,2;193,9;194,9;194,6
;ec64c9c06e99;;;49;05.12.2025;Freitag;Dezember;2025;5948,4;5,95;196,83;195,66;196,8;196,8;197,44;197,07;235,05;306,3;425,46;514,14;458,02;435,36;235,5;197,89;197,46;197,38;196,84;195,87;195,61;195,62;196;194,9;195,1;195,3
;ec64c9c06e99;;;49;04.12.2025;Donnerstag;Dezember;2025;7328,5;7,33;205,2;203,92;205,27;205,2;205,75;205,7;233,14;319,56;438,63;501,82;516,71;503,38;453,21;455,75;453,47;403,34;391,2;199,75;197,67;197,6;197,62;197,03;196,87;196,89
;ec64c9c06e99;;;49;03.12.2025;Mittwoch;Dezember;2025;6572,07;6,57;194,03;192,81;194,07;193,9;193,93;194,8;227,89;278,73;347,05;417,76;388,93;416,09;403,8;348,39;378,91;372,95;302,16;223,38;206,53;206,53;206,04;205,48;205,71;205,23
;ec64c9c06e99;;;49;02.12.2025;Dienstag;Dezember;2025;6064,68;6,07;194,53;192,89;194,36;194,42;194,37;195,12;228,64;275,96;314,5;349,88;353,01;335,15;356,75;326,53;341,33;325,92;305,92;218,53;194,87;194,67;195,06;194,22;194,03;194,02
;ec64c9c06e99;;;49;01.12.2025;Montag;Dezember;2025;7088,74;7,09;196,33;195,54;196,27;196,37;196,5;196,63;227,3;295,23;432,47;495,84;485,16;436,19;433,94;397,07;464,96;479,34;356,33;241,8;192,1;194,96;195,15;194,62;194,45;194,19
;ec64c9c06e99;;;48;30.11.2025;Sonntag;November;2025;4707,95;4,71;196,9;195,04;196,2;196,19;196,31;196,76;196,17;196,05;196,15;196,18;196,23;196,43;195,94;195,88;195,94;195,85;195,94;196,04;196,35;196,24;196,4;196,22;196,34;196,2
;ec64c9c06e99;;;48;29.11.2025;Samstag;November;2025;4715,7;4,72;196,8;195,7;196,8;196,8;196,8;197,6;197,1;196,6;196,5;196,6;196,6;196,7;196,8;196,3;196,5;196,1;196,1;197;195,8;195,7;195,9;196,2;196,5;196,2
;ec64c9c06e99;;;48;28.11.2025;Freitag;November;2025;5681,07;5,68;195,86;194,88;195,81;195,84;195,75;196,83;228,98;273,67;348,43;390,02;302,24;331,93;344,38;285,73;197,71;197,05;197,09;197,71;197,1;197,51;197,6;196,9;196,9;196,8
;ec64c9c06e99;;;48;27.11.2025;Donnerstag;November;2025;7424,31;7,42;194,39;193,29;194,45;194,35;194,28;195,22;230,35;276,84;498,13;502,48;516,82;490,04;465,02;460,21;480,48;460,08;378,97;294,11;197,03;195,76;196,23;195,55;195,5;195,79
;ec64c9c06e99;;;48;26.11.2025;Mittwoch;November;2025;7510,33;7,51;194,54;193,66;194,55;194,4;194,53;195,47;229,75;291,91;406,01;457,69;424,21;430,84;526,26;565,31;458,04;550,94;471,18;362,33;194,99;194,81;195,4;194,63;194,43;194,45
;ec64c9c06e99;;;48;25.11.2025;Dienstag;November;2025;6791,76;6,79;194,41;193,72;194,62;194,33;194,47;195,12;228,42;292,15;402,11;507,44;498,75;442,16;353,89;365,58;407,43;353,1;336,68;257,01;204,77;195,12;195,55;194,83;194,99;195,11
;ec64c9c06e99;;;48;24.11.2025;Montag;November;2025;6640,98;6,64;198,82;198,76;199,83;199,96;200,27;197,33;231,03;304,32;377,4;407,73;423,68;444,19;400,18;419,82;416,76;362,26;293,13;196,61;195,32;194,75;195;194,53;194,68;194,62
;ec64c9c06e99;;;47;23.11.2025;Sonntag;November;2025;4674,82;4,67;195;195,28;195,35;195,09;195,02;195,01;195,12;194,89;194,49;194,31;194,45;194,44;194,45;194,88;194,67;194,37;194,27;194,13;194,06;195,03;194,67;194,95;194,72;196,17
;ec64c9c06e99;;;47;22.11.2025;Samstag;November;2025;4676,08;4,68;195,4;193,94;195,71;195,04;195,05;194,92;195,15;195,4;194,21;194,79;194,77;194,46;194,49;194,93;194,87;194,49;194,61;194,25;194,33;195,07;194,94;194,97;195,27;195,02
;ec64c9c06e99;;;47;21.11.2025;Freitag;November;2025;6572,25;6,57;194,64;193,43;195,06;194,55;194,84;194,95;209,34;296,78;473,23;539,28;558,25;528,02;532,02;302,76;194,6;195,24;192,09;194,94;195,31;192,41;195,64;195,16;194,86;194,87
