GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;ec64c9c0756e;;;51;19.12.2025;Freitag;Dezember;2025;20238,76;20,24;341,29;321,12;354,27;293;340,19;329,33;394,55;1518,27;2366,94;2030,96;2336,59;2242,2;1386,51;1116,52;1121,13;1402,36;329,36;271,73;264,78;313,56;284,5;304,5;255,9;319,2
;ec64c9c0756e;;;51;18.12.2025;Donnerstag;Dezember;2025;21472,25;21,47;375;325,83;302,44;312,23;287,78;358,47;495,4;1474,58;1231,88;1729,62;1665,58;1438,97;1093,75;1989,23;1007,72;1167,02;2069,04;1767,25;602,26;305,51;353,21;293,93;328,88;318,41
;ec64c9c0756e;;;51;17.12.2025;Mittwoch;Dezember;2025;27730,09;27,73;287,31;422,51;275,5;286,18;318,99;292,65;909,22;1946,64;1645,69;2075,42;2403,64;1734,11;1703,68;2110;1872,05;2039,76;2557,46;1897,8;1140,72;336,32;396,76;336,93;378,06;362,69
;ec64c9c0756e;;;51;16.12.2025;Dienstag;Dezember;2025;31521,53;31,52;282,13;382,62;280,41;319,31;309,88;322,34;601,76;2339,1;2490,07;3183,88;2257,46;2403,08;2467,37;1953,11;2010,5;1940,32;2387,14;2100,29;1615,23;632,05;291,49;345,98;293,71;312,3
;ec64c9c0756e;;;51;15.12.2025;Montag;Dezember;2025;24792,41;24,79;345,19;303,2;313,17;315,32;282,5;324,03;679,37;1458,8;1946,38;2415,9;1900,42;1685,88;1672,16;1451,55;1655,25;1620,64;2212,8;1992,79;631,57;345,2;282,02;327,73;318,11;312,43
;ec64c9c0756e;;;50;14.12.2025;Sonntag;Dezember;2025;7392,73;7,39;340,6;307,18;315,93;288,79;338,28;283,31;314,86;312,54;324,13;289,44;331,18;285,47;332,64;282,51;311,46;315,87;284,99;309,48;317,16;291,73;336,47;284,61;313,03;281,07
;ec64c9c0756e;;;50;13.12.2025;Samstag;Dezember;2025;7385,5;7,39;311,3;357,6;305,5;319,6;282,8;316,3;319;282,2;320,2;292,1;361,8;283,2;286,7;306,9;278,1;333,6;282,9;318,6;316,4;331,8;271,8;307,2;318,1;281,8
;ec64c9c0756e;;;50;12.12.2025;Freitag;Dezember;2025;17346,57;17,35;291,23;351,39;290,95;339,33;282,08;322,11;416,32;1400,13;1394,98;1299,21;1523,17;1490,8;1432,71;1956,7;1003,98;861,57;401,68;368,97;294,2;357,12;281,9;282,3;346,3;280,2
;ec64c9c0756e;;;50;11.12.2025;Donnerstag;Dezember;2025;25043,12;25,04;285;346,2;320,15;323,12;286,09;284,91;806,81;1696,61;2089,74;2513,36;2064,52;1661,87;1579,67;1531,21;1551,35;1667,56;1837,55;1489,72;1118,76;336,51;287,22;343,34;278,97;342,88
;ec64c9c0756e;;;50;10.12.2025;Mittwoch;Dezember;2025;29922,68;29,92;339,07;331,63;308,42;286,09;355,03;293,19;821,48;1941,98;2134,3;2616,74;2031,01;1933,15;2294,51;2304,76;2241,66;2068,79;2355,03;1968,06;1172,81;369,85;677,2;316,57;298,93;340,93
;ec64c9c0756e;;;50;09.12.2025;Dienstag;Dezember;2025;32902,12;32,9;304,22;360,18;316,31;284,95;341,3;276,24;2211,29;1879,34;2211,55;3048,89;2889,58;2451,83;2245,89;1886,63;1990,36;2363,02;2307,19;2342,84;1089,98;336,56;824,24;310,68;337,22;291,83
;ec64c9c0756e;;;50;08.12.2025;Montag;Dezember;2025;28893,17;28,89;296,26;366,07;280,83;330,93;320,6;284,88;354,86;1441,15;2428,9;2623,01;2228,2;2482,78;2133,29;1984,95;2508,38;2386,68;2505,41;1570,01;788,82;353,92;321,22;312,8;312,21;277,01
;ec64c9c0756e;;;49;07.12.2025;Sonntag;Dezember;2025;8231,03;8,23;315,8;356,39;306,78;284,97;328,17;336,61;284,14;326,76;292,51;345,75;287,96;652,29;340,65;669,16;295,1;320,53;308,38;309,24;289,84;384,7;281,44;316,46;278,38;319,02
;ec64c9c0756e;;;49;06.12.2025;Samstag;Dezember;2025;7521,2;7,52;315,9;363,6;291,4;345,1;281,9;297,5;324,9;352,4;286,8;287,5;353,2;294,2;331,9;283,6;293,1;348,1;288,4;317,3;318,8;328,5;293,3;325,4;307,8;290,6
;ec64c9c0756e;;;49;05.12.2025;Freitag;Dezember;2025;23076,94;23,08;317,66;346,61;299,46;342,43;290,62;333,13;1418,59;2203,54;1723,07;2091,34;1886,29;2255,07;1716,9;1545,93;1540,8;890,48;852,67;915,38;544,89;313,98;300,8;347,1;279,5;320,7
;ec64c9c0756e;;;49;04.12.2025;Donnerstag;Dezember;2025;27593,87;27,59;337,31;342,73;311,69;314,05;294,75;341,12;1079,08;1987,82;2369,46;2342,09;2427,82;2089,22;2026,3;2177,47;1682,54;1562,08;1921,05;1692,39;700,18;332,01;284,85;349,29;303,77;324,8
;ec64c9c0756e;;;49;03.12.2025;Mittwoch;Dezember;2025;29936,42;29,94;323,48;323,43;333,76;315,27;315,27;305,71;1437,45;2186,34;2229,6;2381,05;2211,32;2122,6;2010,83;1877,96;1870,81;2223,64;2286,16;2110,7;918,38;891,82;329,07;291,45;331,13;309,19
;ec64c9c0756e;;;49;02.12.2025;Dienstag;Dezember;2025;30770,02;30,77;297,93;371,42;282,32;302,2;348,77;289,78;1055,02;2043,55;2259,32;2548,96;2381,31;2756,81;2020,59;2338,4;2092,27;2308,31;2564,11;1578,09;1284,22;327,88;327,59;326,76;315,85;323,89
;ec64c9c0756e;;;49;01.12.2025;Montag;Dezember;2025;25268,24;25,27;277,47;402,49;306,48;300,6;306,51;390,42;327,86;1299,68;2163,02;1993,46;1959,6;1882,92;1603,77;1381,97;1522,54;1932,66;2513,25;1796,43;1052,9;548,82;298,3;344,99;303,44;358,66
;ec64c9c0756e;;;48;30.11.2025;Sonntag;November;2025;7714,93;7,71;311;346,07;320,43;338,8;271,24;350,14;319,92;297,75;362,78;279,26;339,5;296,03;348,89;302,01;306,59;367,43;300,72;316,07;337,47;314,1;306,87;317,9;327,77;336,19
