GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;ec64c9c07a22;;;51;19.12.2025;Freitag;Dezember;2025;8253,06;8,25;287,69;284,48;283,04;283,11;283,39;285,68;305,83;403,4;601,2;533,51;528,46;492,93;475,1;366,46;307,2;276,17;279,56;281,61;282,37;281,07;285,4;283,2;282,1;280,1
;ec64c9c07a22;;;51;18.12.2025;Donnerstag;Dezember;2025;8083,68;8,08;280,75;275,15;277,05;276,73;281,64;284,02;302,28;381,74;461,65;391,17;377,8;392,41;369,07;461,11;461,51;419,4;349,07;313,93;286,82;290,57;292,15;285,31;284,78;287,57
;ec64c9c07a22;;;51;17.12.2025;Mittwoch;Dezember;2025;9308,79;9,31;281,55;276,44;278,57;278,63;276,87;278,93;335,95;461,51;528,08;549,5;518,45;531,85;538,16;565,47;567,37;556,56;421,67;322,43;282,56;277,37;283,86;285,75;284,41;282,31
;ec64c9c07a22;;;51;16.12.2025;Dienstag;Dezember;2025;9138,34;9,14;280,94;280,32;281,69;277,75;277,29;277,97;295,34;412,8;573,34;570,76;510,94;571,81;557,66;520,7;491,23;500,98;396,33;327,04;279,94;280;282,28;282,09;280,37;281,4
;ec64c9c07a22;;;51;15.12.2025;Montag;Dezember;2025;8509,16;8,51;282,16;276,84;279,18;277,02;277,76;278,16;285,98;355,35;496,83;474,84;453,77;455,04;476,97;482,34;455,97;533,05;380,81;278,88;283,41;281,65;285,89;287,75;285,2;284,31
;ec64c9c07a22;;;50;14.12.2025;Sonntag;Dezember;2025;6707,84;6,71;281,6;277,18;279,27;279,29;279,11;280,28;279,84;281,03;276,9;275,01;275,12;275,07;275,16;275,09;275,51;274,85;278,31;283,33;283,37;282,29;282,22;285,39;285,13;287,49
;ec64c9c07a22;;;50;13.12.2025;Samstag;Dezember;2025;6684,9;6,68;279,3;276,9;282,3;279,8;278,9;279;278;279,8;276,7;275,2;275,4;274,8;274,9;275;275,2;275,1;276,1;280,8;281,3;282,5;281,5;283,9;281,1;281,4
;ec64c9c07a22;;;50;12.12.2025;Freitag;Dezember;2025;8057,11;8,06;282,48;281,38;280,55;279,05;279,79;282,94;295,79;427,43;432,59;460,48;492,07;483,07;465,58;413,46;347,5;309,61;257,03;281,41;275,75;276,52;283,1;283,2;281,4;281,5
;ec64c9c07a22;;;50;11.12.2025;Donnerstag;Dezember;2025;8061,45;8,06;278,38;274,93;277,48;277,22;277,25;279,69;349,64;397,4;445,98;455,51;377,01;364,35;371,94;359,6;365,16;422,38;407,32;367,05;300,86;282,2;280,46;285,09;282,09;282,46
;ec64c9c07a22;;;50;10.12.2025;Mittwoch;Dezember;2025;8806,94;8,81;280,81;279,47;278,37;281,44;278,6;278,62;333,47;449,44;496,88;510,67;459,21;451,34;476,21;493,75;496,57;469,84;427,14;336,63;312,13;284,38;283,95;284,03;282,92;281,07
;ec64c9c07a22;;;50;09.12.2025;Dienstag;Dezember;2025;9316,27;9,32;282,2;278,93;278,96;278,47;278,83;279,88;332,65;385,21;484,45;502,03;515,38;539,14;572,88;591,09;562,57;580,16;486,17;389,33;281,14;280,81;285,77;284,57;284,41;281,24
;ec64c9c07a22;;;50;08.12.2025;Montag;Dezember;2025;8629,26;8,63;281,77;276,47;276,84;277,12;277,26;277,75;286,41;342,42;423,95;511,75;489,56;483,45;429,37;497,21;481,61;507,78;488,95;295,2;281,7;283,7;282,68;285,37;284,71;287,23
;ec64c9c07a22;;;49;07.12.2025;Sonntag;Dezember;2025;6689,85;6,69;282,1;280,46;280,8;277,77;277,56;276,23;279,12;278,74;276,29;275,24;275,49;275,18;275,28;274,95;275,15;275,49;280,3;281,91;281,24;281,31;281,96;281,31;283,66;282,31
;ec64c9c07a22;;;49;06.12.2025;Samstag;Dezember;2025;6694,2;6,69;280,4;278,2;279,6;280,3;281,2;282,1;279,6;280,9;276,7;275,2;274,7;275,7;275;275,1;275,2;274,9;278,8;281,7;282,2;280,3;280,2;282;281,1;283,1
;ec64c9c07a22;;;49;05.12.2025;Freitag;Dezember;2025;7997,07;8;279,92;278,77;278,94;278,41;278,28;278,75;264,51;366,25;461,51;485,38;537,58;527,15;456,86;359,99;313,49;275,64;279,71;281,6;280,98;282,69;280,7;282,4;281,9;281,7
;ec64c9c07a22;;;49;04.12.2025;Donnerstag;Dezember;2025;8984,28;8,98;280,19;277,66;280,95;277,44;278,95;280,41;341,89;485,77;588,6;539,36;549,81;534,79;492,37;484,56;464,86;436,41;376,8;322,65;280,78;280,96;281,84;281,55;282,73;282,95
;ec64c9c07a22;;;49;03.12.2025;Mittwoch;Dezember;2025;9316,26;9,32;280,73;279,45;279,72;278,93;279,72;282,01;328,56;456,97;494,63;592,78;575,63;542,39;552,43;530,5;533,81;533,18;411,02;381,54;285,65;283,75;285,87;281,99;281,84;283,16
;ec64c9c07a22;;;49;02.12.2025;Dienstag;Dezember;2025;9617,13;9,62;298,64;296,59;287,03;277,19;276,68;280,56;337,92;449,75;555,73;603,57;603,21;608,73;561,31;537,38;559,91;528,69;424,25;398,09;305,55;286,42;287,48;285,36;284,39;282,7
;ec64c9c07a22;;;49;01.12.2025;Montag;Dezember;2025;8370,7;8,37;283,81;275,91;277,51;278,58;278,09;278,35;283,27;328,28;472,51;412,97;443,07;490,84;446,47;406,83;417,17;453,65;419,21;331,62;300,39;295,09;299,2;300,26;298,53;299,09
;ec64c9c07a22;;;48;30.11.2025;Sonntag;November;2025;6669,4;6,67;279,7;276,55;276,59;276,95;276,02;276,81;276,43;276,16;274,89;274,42;274,57;274,38;274,66;274,51;274,51;274,39;276,56;281,45;281,45;282,32;284,6;284,91;283,41;283,16
;ec64c9c07a22;;;48;29.11.2025;Samstag;November;2025;6664,5;6,67;281,4;276,5;277,1;276,7;276,5;277;275,5;277,3;274,9;274,8;275;275,1;274,9;274,9;275;274,5;279,3;283,9;283,3;279,8;279,2;280,9;280,6;280,4
;ec64c9c07a22;;;48;28.11.2025;Freitag;November;2025;7334,85;7,33;280,65;275,59;275,67;276,44;276,85;278,01;281,86;299,75;358,53;397,96;391,61;388,79;388,58;324,9;306,84;275,42;283,29;282,3;283,34;281,87;282,7;279,7;282,1;282,1
;ec64c9c07a22;;;48;27.11.2025;Donnerstag;November;2025;8466,54;8,47;282,94;278,94;280,37;280,14;281,47;280,44;320,68;449,89;476,85;432,49;425,47;439,28;413,46;489,88;408,67;406,86;427,11;361,14;289,53;258,54;282,38;281,52;279,81;280,23
;ec64c9c07a22;;;48;26.11.2025;Mittwoch;November;2025;10705,06;10,71;281,59;279,25;280,33;279,21;279,96;280,85;378,09;525,38;583,28;713,88;692,64;708,93;615,28;650,49;682,22;676,07;539,52;460,45;309,64;342,11;292,26;284,81;284,45;284,37
;ec64c9c07a22;;;48;25.11.2025;Dienstag;November;2025;10471,18;10,47;280,16;276,78;277,87;278,39;278,6;279,76;353,74;514,21;602,6;697,3;677,97;615,4;646,55;660,25;708,34;634,04;478,22;382,6;269,47;285,3;286,24;284,06;282,47;283,39
;ec64c9c07a22;;;48;24.11.2025;Montag;November;2025;8758,32;8,76;277,02;272,96;275,12;274,72;273,55;274;255,3;375,15;512,14;440,48;430,36;531,84;513,88;493,31;495,06;451,25;413,42;370,62;349,27;329,18;281,42;281,45;281,08;280,09
;ec64c9c07a22;;;47;23.11.2025;Sonntag;November;2025;6642,65;6,64;281,2;279,26;280,8;279,84;280,2;280,78;280,89;278,57;271,89;271,78;271,88;271,93;272;271,82;271,74;271,74;275,12;278,15;279,3;279,26;278,91;278,48;278,89;278,22
;ec64c9c07a22;;;47;22.11.2025;Samstag;November;2025;6628,09;6,63;276,72;276,3;277,47;278,55;278,4;278,99;278,47;277,01;271,79;271,75;271,76;271,82;271,75;271,81;272,2;272,13;274,03;277,72;278,54;279,38;279,77;280,29;280,52;280,92
;ec64c9c07a22;;;47;21.11.2025;Freitag;November;2025;7432,27;7,43;277,65;274,78;278,13;278,11;279,79;278,32;329,46;294,81;353,62;426,31;412,09;429,49;394,25;321,12;308,58;272,4;272,81;278,3;278,85;278,69;279,68;279,22;277,51;278,3
;ec64c9c07a22;;;47;20.11.2025;Donnerstag;November;2025;9235,13;9,23;284,08;279,81;280,51;281,09;277,18;276,85;346,88;498,2;499,58;574,78;584,3;579,97;502,3;561,89;512,33;450,79;358,41;331,97;286,8;279,36;279,06;278,92;278,16;279,68
;ec64c9c07a22;;;47;19.11.2025;Mittwoch;November;2025;9039,61;9,04;282,24;281,22;281,97;281,88;280,57;283,33;390,56;419,76;419,38;513,64;514,62;473,53;462,73;474,52;509,68;473,07;438,27;383,22;339,64;318,58;285,32;283,95;282,86;283,45
;ec64c9c07a22;;;47;18.11.2025;Dienstag;November;2025;10027,13;10,03;276,67;274,77;281,76;281,58;283,36;281,2;376,17;477,62;582,36;610,77;618,61;634,43;493,59;591,35;600,66;603,47;491,54;405,48;347,73;324,02;286,27;287,45;285,58;285,26
;ec64c9c07a22;;;47;17.11.2025;Montag;November;2025;8758,07;8,76;273,24;271,73;271,78;272,84;272,68;273,69;297,14;473,24;553,53;533,44;521,95;512,38;464,28;560,35;458,57;463,25;325,43;279,07;280,33;280,73;280,95;279,55;279,13;278,79
