GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;ec64c9c07e8a;;;51;19.12.2025;Freitag;Dezember;2025;13709,89;13,71;267,2;310,41;250,79;249,87;249,36;788,42;1626,36;1664,06;1710;1665,49;1028,73;846,74;352,48;253,79;231,33;264,92;231,67;264,8;231,63;249,54;247,3;230,5;263,8;230,7
;ec64c9c07e8a;;;51;18.12.2025;Donnerstag;Dezember;2025;24405,09;24,41;257,63;240,38;263,78;230,52;256,51;1212,16;2273,57;2087,75;2280,26;1908,47;1690,36;1797,25;1744,33;1503,75;1480,47;1488,68;1634,11;346,86;299,71;268,42;291,61;279,57;268,37;300,57
;ec64c9c07e8a;;;51;17.12.2025;Mittwoch;Dezember;2025;24423,57;24,42;265,07;244,9;248,14;248,81;231,48;901,35;2254,83;2024,2;1952,72;2283,31;2048,11;1986,99;1742,63;2021,96;1459,34;1373,92;972,85;664,22;258,3;275,27;231,47;259,77;237,06;236,87
;ec64c9c07e8a;;;51;16.12.2025;Dienstag;Dezember;2025;22145,27;22,14;287,51;280,13;234,54;242,19;257,28;792,69;1710,23;1723,39;1816,04;1684,12;1672,17;1490,65;1666,66;1501,08;1446,26;1453,06;796,74;896,91;277,7;592,85;285,96;507,97;296,59;232,55
;ec64c9c07e8a;;;51;15.12.2025;Montag;Dezember;2025;24930,95;24,93;244,98;241,46;264,75;230,61;254,58;580,27;1929,55;2413,48;2031,9;2234,2;1942,4;1945,47;1540,68;1538,35;1570,04;1622,56;728,67;1368,01;457,63;451,79;418,25;310,64;289,6;321,08
;ec64c9c07e8a;;;50;14.12.2025;Sonntag;Dezember;2025;6417,2;6,42;232;258,9;247,5;232,24;265,67;231,91;257,96;239,22;231,22;264,92;230,9;263,21;233,21;235,88;261,05;231;264,75;230,8;507,71;353,51;233,67;429,5;230,56;249,91
;ec64c9c07e8a;;;50;13.12.2025;Samstag;Dezember;2025;6707,6;6,71;230,7;263,8;245,4;230,5;265,2;229,6;259,8;233,8;237;257,2;229,9;264,5;230;249,1;246,3;230,3;532;341,3;260,6;236,4;238,2;619,6;310,2;266,2
;ec64c9c07e8a;;;50;12.12.2025;Freitag;Dezember;2025;18004,42;18;250,45;243,79;270,64;235,4;291,41;795,3;1617,19;1587,9;1676,6;1500,92;1503,6;1544,81;2075,45;1641,74;413,22;368,52;266,1;230,36;259,95;236,87;237,6;260,5;230,3;265,8
;ec64c9c07e8a;;;50;11.12.2025;Donnerstag;Dezember;2025;24894,87;24,89;282,51;290,85;249,91;271,85;234,46;1005,56;1729,33;1788,5;1910,68;1694,39;1803,35;1653,88;2075,1;1610,85;1561,17;1751,29;771,82;1588,71;567,22;489,81;454,18;576,91;236,68;258,17
;ec64c9c07e8a;;;50;10.12.2025;Mittwoch;Dezember;2025;28139,75;28,14;276,36;251,68;260,5;253,79;240,83;1030,17;2009,46;2134,08;2042,99;2037,42;2124,92;2046,01;2051,31;1734,35;1592,89;1761,17;2021,46;1255,82;1055,65;438,97;415,8;528,15;301,4;274,57
;ec64c9c07e8a;;;50;09.12.2025;Dienstag;Dezember;2025;26478,47;26,48;318,02;254,73;262,85;245,12;254,67;1057,26;2303,13;1706,64;2339,52;1965,48;2180,67;1987,51;2067,28;1892,21;1909,77;1905,4;1045,35;810,13;390,44;252,16;263,38;239,37;277,61;237,96
;ec64c9c07e8a;;;50;08.12.2025;Montag;Dezember;2025;24571,13;24,57;251,22;237,33;251,05;229,42;249,34;713,21;2310,16;2609,44;1947,7;1721,69;2203,06;1670,73;1748,1;1554,72;1541,27;1710,88;1063,05;625,01;389,1;319,75;294,64;319,92;309,85;300,49
;ec64c9c07e8a;;;49;07.12.2025;Sonntag;Dezember;2025;5789,89;5,79;245,2;260,68;231,18;251,53;227;251,67;230,48;247,07;245,57;232,31;250,61;226,73;250,54;226,7;250,56;243,68;233,74;250,74;226,41;250,53;227,01;251,56;243,59;234,8
;ec64c9c07e8a;;;49;06.12.2025;Samstag;Dezember;2025;5769,3;5,77;234,8;255,9;249,4;228;250,7;226,3;250,3;229,4;246,3;243,9;231,2;250,1;225,7;251,6;226,2;251,8;239,3;237,2;250,5;226,3;251;228,8;251;233,6
;ec64c9c07e8a;;;49;05.12.2025;Freitag;Dezember;2025;18582,67;18,58;257,17;252,63;293,34;288,26;271,72;888,12;1932,89;1754,24;1935,65;1420,04;1588,36;1580,23;1472,19;1044,36;476,66;661,65;476,53;529,69;252,36;243,28;234,7;251,3;226,5;250,8
;ec64c9c07e8a;;;49;04.12.2025;Donnerstag;Dezember;2025;24523,37;24,52;258,16;247,13;257,29;250,45;238,16;1042,65;2021,18;2098,07;2064,11;2083,31;1871,46;1599,12;1636,02;1499,96;1731,08;1942,53;1147,55;952,28;344,83;257,5;243,37;247,03;257,51;232,62
