GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;ec64c9c6bead;;;51;19.12.2025;Freitag;Dezember;2025;41657,38;41,66;565,49;579,53;585,2;543,38;531,86;677,73;2092,56;3151,2;4047,48;3747,49;3952,38;3747,29;3248,7;2180,85;2790,54;2171,45;1584,94;1645,17;1034,04;557,6;536,5;577,1;576,4;532,5
;ec64c9c6bead;;;51;18.12.2025;Donnerstag;Dezember;2025;46462,58;46,46;614,22;675,94;614,02;661,66;633,37;702,19;2162,39;2711,46;3858,39;3978,99;3710,65;4062,25;2838,79;3664,39;2586,31;2646,77;2873,7;3421,43;956,88;606,95;560,78;544,85;593,13;531,69
;ec64c9c6bead;;;51;17.12.2025;Mittwoch;Dezember;2025;49290,66;49,29;578,53;548,15;550,52;568,26;573,89;556,49;2215,11;2991,91;4175,33;3920,16;4221,76;3704,79;3612,24;3426,51;3640,31;3177,69;3092,69;2457,19;1143,48;957,98;825,85;911,22;766,78;673,82
;ec64c9c6bead;;;51;16.12.2025;Dienstag;Dezember;2025;44335,5;44,34;536,23;584,14;579,51;545,16;577,71;587,6;2003,23;2897,38;3898,24;3438,74;3719,29;3486,91;3326,54;2718,34;2705,36;2670,33;2717,76;2678,9;1509,34;534,82;539,7;558,73;565,27;551,55
;ec64c9c6bead;;;51;15.12.2025;Montag;Dezember;2025;48755,89;48,76;585,95;534,41;546,44;563,72;622,31;538,73;2353,29;4024,49;4117,87;4223,62;3519,38;3571,06;3142,9;3019,19;2941,56;3293,21;3190,39;3350,45;1721,33;623,39;558,18;552,06;577,25;584,71
;ec64c9c6bead;;;50;14.12.2025;Sonntag;Dezember;2025;11191,38;11,19;531,4;552,41;566;582;575,45;590,25;546,43;566,37;455,33;235,48;280,31;240,56;308,89;274,26;248,56;256,57;459,48;573,45;534,21;576,3;580,92;548,82;536,28;571,65
;ec64c9c6bead;;;50;13.12.2025;Samstag;Dezember;2025;11160,1;11,16;637,8;554,6;590,5;590,8;533,9;568,6;527,2;550,4;426,1;249,9;280,3;238,8;280,4;240,1;300,9;316,1;359,4;532,1;543,3;604,3;544,4;545;527,5;617,7
;ec64c9c6bead;;;50;12.12.2025;Freitag;Dezember;2025;36448,33;36,45;590,38;536,51;579,45;558,57;539,85;616,23;2204,24;2744,3;3476,34;3253,63;3017,42;2845,84;3016,64;2915,5;1824,1;1497,42;1633,53;923,54;640,15;577,29;663,7;585,4;597,1;611,2
;ec64c9c6bead;;;50;11.12.2025;Donnerstag;Dezember;2025;40146,78;40,15;523,5;598,97;531,67;576,47;543,91;589,27;1642,89;2829,25;3254,21;3489,29;3870,12;3378,98;2562,19;2640,14;2033,65;2013,25;2344,51;2322,1;1032,37;895,36;558,3;545,15;532,63;612,6
;ec64c9c6bead;;;50;10.12.2025;Mittwoch;Dezember;2025;47006,45;47,01;587,8;560,28;530,1;571,69;570,19;536,7;1982,04;2685,55;4023,54;4225,73;3546,44;4352,54;3722,39;3271,8;2892,78;2778,22;3341,25;2574,19;998,05;953,95;551,81;576,53;545,29;627,59
;ec64c9c6bead;;;50;09.12.2025;Dienstag;Dezember;2025;45845,34;45,84;668,09;634,37;677,84;614,99;665,51;643,04;1992,94;2836,92;3462,23;3476,95;3765,01;3534,72;3061,36;3181,35;2913,8;3506,6;3129,29;2786,48;1225,36;843,12;556,33;566,97;547,54;554,53
;ec64c9c6bead;;;50;08.12.2025;Montag;Dezember;2025;47005,22;47,01;488,36;486,3;526,07;480,14;534,77;483,07;1745,69;3239,98;3694,44;4138,36;3485,98;3463,37;3465,74;3524,56;3395,41;3490,25;2933,71;2335,07;1434,07;710,85;976,16;671;659,18;642,69
;ec64c9c6bead;;;49;07.12.2025;Sonntag;Dezember;2025;9918,76;9,92;525,9;496,46;521,4;487,2;537,63;521,22;483,15;485,21;321,25;231,21;218,44;206,12;209,64;202,8;183,18;270,41;425,59;484,05;493,2;602,54;489,94;479,7;493,46;549,06
;ec64c9c6bead;;;49;06.12.2025;Samstag;Dezember;2025;9888,6;9,89;494,7;492,1;521,5;533,7;473,9;497,1;504,5;530,8;373,4;231,5;183,8;227;239;181,1;202,7;182,6;470,7;477,4;493,4;533,5;553,7;482,7;487;520,8
;ec64c9c6bead;;;49;05.12.2025;Freitag;Dezember;2025;37060,23;37,06;599,06;558,43;583,75;587,27;554,23;570,24;2045,28;4685,49;3168,66;3333,96;2902,11;2834,21;1882,73;1598,66;2007,48;2577,24;1501,55;1431,33;879,67;532,51;568;485,8;499;537,3
;ec64c9c6bead;;;49;04.12.2025;Donnerstag;Dezember;2025;44067,66;44,07;632,62;552,43;613,6;564,44;550,83;545,6;1953,09;3846,6;3449,29;3599,89;3522,56;3371,47;2632,16;2890,33;2828,38;2961,19;2915,91;2003,44;963,66;633,89;652,98;649,93;628,44;605,97
;ec64c9c6bead;;;49;03.12.2025;Mittwoch;Dezember;2025;45940,01;45,94;573,92;583,37;601,98;532,93;548,61;570,28;2190,51;3543,32;3405,09;3357,49;3810,09;3101,83;3592,54;2905,78;2657,02;3021,94;3133,87;3000,97;1321,64;992,3;596,37;643,16;578,47;626,68
;ec64c9c6bead;;;49;02.12.2025;Dienstag;Dezember;2025;41712,97;41,71;533,04;562,2;603,67;546,24;538,83;574,95;2402,22;2938,73;3164,76;3434,95;3124,88;2906,98;2504,55;2886,03;2608,84;2643,21;2909,42;2146,74;1403,43;691,84;880,02;586,18;539,68;581,58
;ec64c9c6bead;;;49;01.12.2025;Montag;Dezember;2025;47915,5;47,91;542,18;574,14;594,5;532,24;547,45;572,51;1968,51;3436,92;3604,95;3576,36;3621,46;3347,67;3121,61;3632,85;3388,33;3572,77;3506,78;2294,17;1799,2;965,57;951,33;527,35;554,82;602,56
;ec64c9c6bead;;;48;30.11.2025;Sonntag;November;2025;11025,18;11,03;561,4;546,39;536,92;538,95;659,71;532,29;540,56;558,72;335,83;234,89;275,83;243,99;278,4;305,23;240,81;247,69;463,06;548,4;527,94;619,72;539,99;570,92;581,62;535,92
;ec64c9c6bead;;;48;29.11.2025;Samstag;November;2025;11010,3;11,01;580,6;562,1;595,1;550,4;532,4;539,5;604,6;538;296,2;260,4;284,6;231;283,3;285,2;289,6;270;413,8;539,7;567,2;572,2;533,4;574,6;523,1;583,3
