GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach;[Wh];Verbrauch;[kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00:00
;;3ce90e6f0d6c;;;;51;19.12.2025;Freitag;Dezember;2025;32132,94;32,13;2073,2;2027,93;2067,15;1942,8;1922,16;1965,81;2344,49;2737,01;2436,47;2745,66;1218,93;642,84;299,86;293,4;159,41;138,21;437,12;986,09;1345,63;1312,83;1315,08;1394,71;200,17;125,98
;;3ce90e6f0d6c;;;;51;18.12.2025;Donnerstag;Dezember;2025;233444,77;173,44;1726,11;2744,33;2853,83;2793,33;2818,97;2897,35;4563,66;24072,55;23796,18;23075,24;22529,91;22259,71;22238,26;22255,27;22148,84;21620,26;16632,84;2958,4;3569,09;3438,18;3504,52;3447,18;2336,94;2163,82
;;3ce90e6f0d6c;;;;51;17.12.2025;Mittwoch;Dezember;2025;215898,81;153,9;4429;4222,71;4296,23;4184,91;4162,04;4158,66;5467,91;24124,43;23917,88;23031,24;21992,93;23295,22;22610,2;22805,29;22803,24;15602,39;6501,88;11256,66;13142,04;10413,24;3942,5;3926,3;2808,71;2803,2
;;3ce90e6f0d6c;;;;51;16.12.2025;Dienstag;Dezember;2025;200699,44;150,7;10427,79;8589,37;6548,83;3298,98;2571,45;2598,23;3928,92;23864,88;25105;23620,96;23016,46;23065,74;22503,27;21807,7;21653,88;21558,82;20598,88;5018,68;5323,99;5455,81;5577,96;5594,26;4478,43;4491,15
;;3ce90e6f0d6c;;;;51;15.12.2025;Montag;Dezember;2025;364799,21;171,8;436,52;434,39;524,99;459,09;500,5;576,34;1648,59;23976;24824,97;23951,6;22852,4;22804,05;22105,26;26180,72;29783,31;30714,69;24407,12;7573,73;12787,55;17610,41;19761,26;19661,53;17009,38;14214,81
;;3ce90e6f0d6c;;;;50;14.12.2025;Sonntag;Dezember;2025;21396,87;21,4;610,39;746,91;726,93;468,9;506,05;483,07;1052,39;1727,99;1740,47;1707,3;767,36;509,42;437,22;388,59;329,23;240,21;323,44;1060,43;1613,71;1613,45;1701,46;1642,34;505,32;494,29
;;3ce90e6f0d6c;;;;50;13.12.2025;Samstag;Dezember;2025;23950,52;23,95;1460,35;1352,88;1302,68;1191,22;1184;814,94;864,1;1533,83;1536,74;1537,96;513,3;334,5;334,65;330,15;284,04;232,24;276,27;755,24;1565,52;1690,06;1735,14;1766,32;713,36;641,03
;;3ce90e6f0d6c;;;;50;12.12.2025;Freitag;Dezember;2025;179051,41;179,05;2441,04;2406,17;2354,69;2344,45;2278,6;2265,78;3192,64;22744,95;22311,93;21633,45;21011,24;21045,49;20581,52;8335,18;1942,01;2150,6;1923,27;2884,6;3058,11;2971,23;2930,25;2958,41;1753,17;1532,63
;;3ce90e6f0d6c;;;;50;11.12.2025;Donnerstag;Dezember;2025;215420,07;165,42;503,95;486,47;570,79;570,82;555,25;603,6;1224,55;6753,82;18395,37;21339,18;20511,63;20454,11;19672,91;20375,02;20448,93;19859,73;21326,46;3448,6;3242,91;3301,45;3430,25;3529,41;2426,03;2388,83
;;3ce90e6f0d6c;;;;50;10.12.2025;Mittwoch;Dezember;2025;95502,13;95,5;512,18;487,23;521,36;474,12;423,75;412,54;1354,9;6525,89;7162,1;7070,11;5432,67;5953,24;6046,7;5983,37;5705,69;5545,32;5871,34;10506,45;10781,73;4510,33;1639,89;1640,32;484,19;456,71
;;3ce90e6f0d6c;;;;50;09.12.2025;Dienstag;Dezember;2025;224439,61;174,44;3033,31;1561,73;1601,94;1433,02;1284,45;1701,72;2630,93;19982,6;19840,31;19731,05;20222,95;20965,22;19946,37;19681,87;20264,07;21173,9;17892,58;1963,84;1649,73;1582,93;1625,31;1611,48;477,87;471,25
;;3ce90e6f0d6c;;;;50;08.12.2025;Montag;Dezember;2025;254320,78;169,32;354,35;273,08;293,46;223,01;201,59;204,41;862,99;17775,26;19022,44;18534,82;4962,12;6935,31;11488,51;8126,8;11168,5;15182,43;19245,77;27770,85;28072,79;20641,53;15155,23;11442,17;8307,91;5952,02
;;3ce90e6f0d6c;;;;49;07.12.2025;Sonntag;Dezember;2025;18037,7;18,04;386,23;375,86;461,84;359,72;342,32;380,12;898,08;1538,71;1568,01;1374,81;359,81;385,8;336,03;260,83;287,4;320,94;289,55;1417,86;1499,31;1442,25;1497,72;1546,82;372,83;334,85
;;3ce90e6f0d6c;;;;49;06.12.2025;Samstag;Dezember;2025;28243,94;28,24;1692,17;1648,78;1674,58;1523,7;1488,58;927,82;1150,79;1809,68;1893,8;1861,45;670,01;682,23;603,43;577,68;561,61;487,59;453,36;1220,44;1610,51;1610,38;1641,97;1594,86;429,71;428,81
;;3ce90e6f0d6c;;;;49;05.12.2025;Freitag;Dezember;2025;184216;184,22;834,44;907,02;920,05;870,84;908,13;845,56;1854,7;22288,81;21969,29;23294,4;23925,82;23662,36;23094,06;12989,49;2304,47;2454,8;2018,4;2784,49;3199,14;3234,74;3141,01;3069,07;1963,61;1681,3
;;3ce90e6f0d6c;;;;49;04.12.2025;Donnerstag;Dezember;2025;260077,9;160,08;2127,71;2135,18;1969,64;1909,85;1926,39;1828,24;3627,66;22027,84;21357,4;21776,4;20886,29;21791,71;21017,07;20101,86;21379,72;21546,28;19955,96;10636,9;10995,63;5498,09;1915,82;1959,46;854,24;852,56
;;3ce90e6f0d6c;;;;49;03.12.2025;Mittwoch;Dezember;2025;244657,98;144,66;3189,3;3087,75;3124,78;3062,74;2976,7;2919,54;3756,7;15737,48;21871,02;21768,38;20980,23;21119,89;21096,31;19545,66;19708,27;19788,05;19083,9;3662,27;3426,25;3492,8;3449,51;3466,33;2193,66;2150,46
;;3ce90e6f0d6c;;;;49;02.12.2025;Dienstag;Dezember;2025;294985,36;174,99;2788,3;2938,99;3034,05;2807,47;2807,93;2849,87;4910,08;23270,93;22462,17;21300,28;20835,41;21522,46;29510,06;29248,44;26875,66;20973,84;21869,64;10452,83;4570,49;4470,4;4455,66;4490,68;3269,89;3269,83
;;3ce90e6f0d6c;;;;49;01.12.2025;Montag;Dezember;2025;246597,68;246,6;581,49;572,94;659,34;594,53;589,75;639,18;2555,65;22444,78;22692,46;21519,74;21288,26;21776,29;20669,47;20668,11;21245,32;21792,24;20475,91;4095,23;3988,48;4005,02;4044,45;4032,68;2835,43;2830,93
;;3ce90e6f0d6c;;;;48;30.11.2025;Sonntag;November;2025;18577,74;18,58;365,04;309,17;349,67;351,87;270,94;301,61;930,69;1556,83;1576,65;889,66;452,11;444,88;449,96;391,81;323,01;317,01;336,73;1089,8;1625,4;1664,39;1729,37;1750,63;548,91;551,6
;;3ce90e6f0d6c;;;;48;29.11.2025;Samstag;November;2025;17703,41;17,7;377,17;377,42;445;327,72;332,81;366,43;942,51;1578,54;1563,29;853,49;350,3;395,75;335,08;331,06;332,59;309,58;305,79;1064,42;1511,24;1541,67;1749,05;1588,81;367,97;355,72
;;3ce90e6f0d6c;;;;48;28.11.2025;Freitag;November;2025;185531,52;185,53;4298,69;4273,25;4314,93;4225,06;4151,97;4108,35;5357,11;23833,24;24818,04;23707,42;22772,58;22047,63;19903,98;9032,03;247,15;396,11;207,11;1362,7;1391,77;1427,5;1490,3;1460,64;332,06;371,9
;;3ce90e6f0d6c;;;;48;27.11.2025;Donnerstag;November;2025;203750,19;203,75;10505,89;7475,14;5890,25;2873,89;2869,46;2892,15;5633,96;24455,76;24799,05;22816,37;23014,43;22958,71;23320,36;22548,18;22955,2;8661,55;7429,1;14796,04;14946,39;12556,6;5777,74;5714,01;4502,23;4357,73
;;3ce90e6f0d6c;;;;48;26.11.2025;Mittwoch;November;2025;175279,07;175,28;4427,22;4282,96;4255,61;4209,37;4227,38;4147,33;5363,63;22793,99;23581,05;23665,64;22775,13;23539,7;22971,64;22690,75;22149,79;25471,04;22866,14;10580,24;15696,14;18822,84;19726,69;18859,43;15670,42;12504,94
;;3ce90e6f0d6c;;;;48;25.11.2025;Dienstag;November;2025;168158,7;168,16;2796,02;2795,25;2822,09;2771,48;2745,33;2811,45;3790,48;10765,23;9946,06;15402,51;23583,59;22958,66;22675,34;22823,47;21962,95;22845,55;19054,15;13945,41;14706,94;6951,59;5576,54;5568,98;4439,65;4419,98
