GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;3ce90e6f4f64;;;51;19.12.2025;Freitag;Dezember;2025;232852,37;232,85;2758,52;2610,15;2706,1;2821,15;2555,96;2738,21;5754,86;49924,83;70520,39;21993,62;20013,23;10049,48;5874,27;4029,33;3751,5;3318,24;2763,17;2702,04;3065,82;2709,77;2413,12;2244,44;2691,92;2473,62
;3ce90e6f4f64;;;51;18.12.2025;Donnerstag;Dezember;2025;402982,78;402,98;3639,99;3754,79;3343,04;4048,08;3528,65;4070,56;9232,49;31480,28;38197,07;39756,17;31385,96;39677,47;36621,64;29376,86;30916,16;34441,96;28120,85;13814,2;3612,23;3010,99;2769,87;2612,88;2905,26;2665,33
;3ce90e6f4f64;;;51;17.12.2025;Mittwoch;Dezember;2025;600224,47;600,22;4043,57;3928,22;4001,66;3914,58;4165,21;3901,2;7448,04;33553,98;82926,44;79607,6;72793,2;78963,3;78219,91;48178,56;23112,92;23448,98;16228,46;6893,75;4754,72;3705,68;3877,98;3348,72;3696,55;3547,97
;3ce90e6f4f64;;;51;16.12.2025;Dienstag;Dezember;2025;409582,39;409,58;3794,13;3607,45;3739,95;3922,51;3503,74;4028;10331,81;32271,62;37445,79;43502,6;33416,54;38891,18;38318,54;28553,94;34414,15;33589,47;25430,46;4744,63;4888,34;4503,19;4217,11;4258,84;4051,25;4157,15
;3ce90e6f4f64;;;51;15.12.2025;Montag;Dezember;2025;568712,49;568,71;3750,14;3752,2;3795,56;3679,02;4279,76;3907,33;9242,11;29933,77;42202,58;43876,48;29244,19;41910,53;72937,52;68171,41;73273,41;78195,16;24806,35;6454,42;5507,73;4189,69;4255,1;3544,03;3882,56;3921,44
;3ce90e6f4f64;;;50;14.12.2025;Sonntag;Dezember;2025;88433,97;88,43;3918,23;3858,69;4027,32;3666,37;3884,22;3817,9;4146,05;3806,12;3953,06;3834,72;3516,24;3706,65;3326;3209,99;3056,29;2966,3;2862,36;3637,55;3554,87;3833,75;4103,46;3704,65;3989,93;3869,19
;3ce90e6f4f64;;;50;13.12.2025;Samstag;Dezember;2025;184374,98;184,38;3614,84;3349,71;3773;3424,35;3718,26;3362,58;24071,66;62947,32;10813,19;6525,19;6665,08;6340,14;6172,28;3289,6;3047,16;3130,92;2652,01;3606,35;3594,19;4034,7;3890,36;4070,51;4184,13;4097,45
;3ce90e6f4f64;;;50;12.12.2025;Freitag;Dezember;2025;682390,29;682,39;4071,58;4258,09;4519,25;4149,3;4344,01;4323,16;45738,44;90661,45;100574,19;100037,33;87461,09;95875,54;79665,7;17674,35;4396,73;4059,66;3936,72;3892,61;4232,15;3763,07;3779,01;3397,17;3898,52;3333,76
;3ce90e6f4f64;;;50;11.12.2025;Donnerstag;Dezember;2025;450733,33;450,73;3847,58;3554,36;4111,14;3717,18;4198,83;3787,47;9421,88;28986,69;40186,03;52972,49;33134,35;45639,24;44307,02;29003,8;34531,84;44478,97;26930,97;6826,26;5260,08;4719,11;4081,11;4287,48;4573,32;4134,89
;3ce90e6f4f64;;;50;10.12.2025;Mittwoch;Dezember;2025;385725,85;385,73;3411,8;3428,82;3304,28;3349,43;3430,22;3453,76;8990,44;28657,77;36649,67;41258,94;29251,92;33755,33;35853,13;28857,03;24231,21;28283,9;23329,93;14106,7;11548,86;5120,38;4177,48;3563,15;4104,2;3607,5
;3ce90e6f4f64;;;50;09.12.2025;Dienstag;Dezember;2025;700870,51;700,87;3328,59;3302,35;3513,69;3311,94;3440,24;3177;11006,71;41811,05;57752,71;99344,11;74083,13;71728,05;103675,85;81459,17;39681,41;37964,29;27085,3;13477,56;4566,87;3638,8;3374,24;3392,17;3392,23;3363,05
;3ce90e6f4f64;;;50;08.12.2025;Montag;Dezember;2025;435293,84;435,29;3522,17;3622,3;3452,33;3430,94;3288,8;3615,97;8588,16;40258,79;48319,89;49757,52;27105,71;39569,53;38872,53;28604,4;30148,55;30697,03;30768,1;14104,5;7572,53;3763,83;3289,77;3175,69;3382,22;3184,62
;3ce90e6f4f64;;;49;07.12.2025;Sonntag;Dezember;2025;85346,79;85,35;3565,63;3785,08;3724,07;3749,6;3523,67;3901,45;3647,53;3637,47;3734,04;3750,1;3512,86;3375,77;3216,32;3227,14;3204,4;3213,89;3195,25;3796,53;3376,15;3674,71;3403,34;3839,02;3538,38;3754,39
;3ce90e6f4f64;;;49;06.12.2025;Samstag;Dezember;2025;96325,91;96,33;4081,03;4276;4113,52;4216,88;4271,53;4382,14;4095,55;3760,72;4178,53;4142,69;4395,02;3613,87;3976,04;3857,68;3905,02;3592,63;3752,44;3895,95;4036,71;3786,05;3813,21;4006,18;3781,9;3973,94
