GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;c8c9a33d32e0;;;51;19.12.2025;Freitag;Dezember;2025;169268,55;169,27;6278,65;5685,05;6143,02;6098,49;5521,74;6887,01;10143,36;10856,23;9811,12;9225,59;9161,56;9342,69;7017,57;5408,23;6220,06;5630,76;5458,21;5848,76;5989,14;6337,61;6480,7;6699,9;6342,8;6680,3
;c8c9a33d32e0;;;51;18.12.2025;Donnerstag;Dezember;2025;193446,04;193,45;6750,6;6231,81;6967,37;6994,57;6865,38;7282,48;8313,29;11319,59;11633,91;11142,78;9965,62;9943,32;10646,78;9573,65;9886,06;10168,44;5863,2;6358,5;6436,41;6049,35;6434,59;6462,89;5883,7;6271,75
;c8c9a33d32e0;;;51;17.12.2025;Mittwoch;Dezember;2025;203505,18;203,5;7072,95;6790,43;6893,5;7179,03;6762,45;7630,77;11787,24;11659,85;11478,38;11730,66;11025,56;10411,61;10736,05;10171,41;9993,13;9635,16;7478,92;7538,82;6064,63;6314,19;5938,3;6740,95;6318,11;6153,08
;c8c9a33d32e0;;;51;16.12.2025;Dienstag;Dezember;2025;211163,5;211,16;7330,92;7206,4;7300,81;7306,48;6928,16;7427,16;11255,42;11617,8;10977,47;11571,34;11828,56;11063,13;11086,8;10777,97;10311,58;11019,53;6487,23;6674,19;7011,54;7178,5;7397,22;7191,04;7109,41;7104,84
;c8c9a33d32e0;;;51;15.12.2025;Montag;Dezember;2025;214521,41;214,52;6746,89;6905,8;6847,01;7321,14;7466,07;7937,12;12064,47;12292,83;12624,36;11791,75;11616;10709,35;11264,36;11250,93;10409,45;10996,32;6808,04;7187,17;6791,25;7179,3;7259,16;7218,32;6684,16;7150,16
;c8c9a33d32e0;;;50;14.12.2025;Sonntag;Dezember;2025;163256,12;163,26;7019,1;7115,07;7166,73;6903,46;7132,85;7082,05;7156,09;7092,95;7150,98;6636,69;7004,51;6346,07;6700,35;6374,52;6331,61;6533,15;6528,75;6798,72;6366,06;7002,07;6717,56;6931,59;6416,06;6749,13
;c8c9a33d32e0;;;50;13.12.2025;Samstag;Dezember;2025;158337,1;158,34;6265,6;6319,6;6488;6267,6;6118,4;6368,8;6414,4;6335,3;6454,1;6350;6417,5;5851,6;6284,4;6103,9;5717,5;6565,9;6793,2;6518,6;7436,1;7630;7554,6;7446,1;7373,5;7262,4
;c8c9a33d32e0;;;50;12.12.2025;Freitag;Dezember;2025;214148,17;214,15;7817,14;8354,54;8572,82;8633,56;8520,91;9610,23;11984,12;11510,26;13212,74;12070,89;12050,99;11658,7;11200,51;9992,4;9873,28;7575,44;6446,73;6077,22;6425,15;6775,14;6731,4;6083,1;6568;6402,9
;c8c9a33d32e0;;;50;11.12.2025;Donnerstag;Dezember;2025;209858,23;209,86;6143,3;6499,63;6139,66;6329,85;6905,15;6953,9;11233,4;11183,54;11787,59;11686,51;14077,88;11514,09;11013,8;9988,66;10319,56;10916,96;6215,27;6734,36;7045,18;6723,06;7268,58;7559,68;7710,46;7908,16
;c8c9a33d32e0;;;50;10.12.2025;Mittwoch;Dezember;2025;180917,76;180,92;5804,09;5947,74;6123,09;5557,81;5975,16;6130,1;9483,53;9599,48;9908,07;10013,03;9712,03;9415,56;9868,79;9449,18;9344,12;10153,64;6928,51;6008,58;5811,61;5717,22;6218,64;5574,06;6139,23;6034,49
;c8c9a33d32e0;;;50;09.12.2025;Dienstag;Dezember;2025;182272,08;182,27;5526,7;5412,95;5854,53;5640,94;5641,09;6516,62;9871,34;10239,99;10243,77;9266,73;10103,9;10030,5;11579,58;9422,41;9779,19;10144,93;5659,41;5494,39;5983,36;5424,62;5966,17;5982,01;6000,32;6049,47
;c8c9a33d32e0;;;50;08.12.2025;Montag;Dezember;2025;181763,55;181,76;5501,32;5147,68;5452,12;5677,82;5275,31;5776,43;9289,34;10534,51;11200,35;10564,66;11591,47;10992,78;10106,66;9363,95;9739,66;10237,48;5493,27;5778,95;5854,43;5169,05;5941,95;5625,15;5557,25;5891,96
;c8c9a33d32e0;;;49;07.12.2025;Sonntag;Dezember;2025;139364,19;139,36;5782;5739,16;6059,04;5793,23;6225,07;6160,13;6085,29;5724,04;5713,8;6074,78;5826,33;5971,53;5686,52;5630,06;5577,34;5548,42;5422,56;5930,69;5886,61;5819;5599,83;5988,79;5716,81;5403,16
;c8c9a33d32e0;;;49;06.12.2025;Samstag;Dezember;2025;163630,8;163,63;7479,2;7301,6;7877,6;7384,3;7602,8;7578,2;7042,8;7133,7;7213,9;6984,9;7280,9;6865,4;6271,3;6882,9;6526,9;6088,7;6501;5893,8;6671,7;6391,6;5920,4;6067,5;6363;6306,7
;c8c9a33d32e0;;;49;05.12.2025;Freitag;Dezember;2025;213962,78;213,96;8309,74;8185,54;8569,79;7932,19;7918,08;8474,53;10716,16;11771,81;11953,01;12230,8;11259,98;11771,63;11238,57;10659,78;10012,05;8322,19;6545,34;6172,08;7144,58;6856,68;6474,8;6855,9;7087,2;7158,5
;c8c9a33d32e0;;;49;04.12.2025;Donnerstag;Dezember;2025;205836,11;205,84;6076,55;6188,15;6184,07;6640,52;6372,57;6858,15;9948,7;10735;10565,91;10784,03;10771,35;10838,94;11442,11;10094,13;10616,95;10889,05;7187,55;6911,07;7197,87;7739,16;7348,23;8267,94;7940,3;8237,81
;c8c9a33d32e0;;;49;03.12.2025;Mittwoch;Dezember;2025;194798,47;194,8;6663,75;6351,99;6410,66;6745,48;6018,77;7510;10274,33;11212,35;11283,87;11124,14;11091,08;10079,3;10147,3;9890,42;9989,71;9921,73;7218,1;5868,13;6429,33;6189,04;6053,64;6294;5890,55;6140,8
;c8c9a33d32e0;;;49;02.12.2025;Dienstag;Dezember;2025;203971,37;203,97;7005,01;6333,61;6903,5;7019,71;6730,98;7791,84;10853,29;10817,75;11490,02;11168,3;11234,75;11723,49;11308,97;10603,65;10203,61;11030,93;6403,36;6641,97;6430,28;6294,1;6707,85;6206,33;6940,3;6127,77
