GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;08f9e0e9c66c;;;51;19.12.2025;Freitag;Dezember;2025;89778,62;89,78;3883,2;3822,8;3842,67;3900,8;3776,2;3879,72;3752,48;3858,25;3817,2;3928,59;3810,01;3910,3;3647,78;3345,05;3565,84;3575,77;3617,22;3624,24;3648,6;3641,13;3696,23;3733,67;3816,19;3684,68
;08f9e0e9c66c;;;51;18.12.2025;Donnerstag;Dezember;2025;92245,8;92,25;3777,93;3711,8;3884,04;3840,96;3719,34;3774,38;3824,17;3838,33;3773,27;3697,2;3759,4;3697,33;4079,86;4052,35;4044,44;3905,37;3622,71;3903,32;3852,66;3842,46;3873,66;3876,78;3815,68;3781,51
;08f9e0e9c66c;;;51;17.12.2025;Mittwoch;Dezember;2025;89895,65;89,9;3841,74;3851,81;3931,94;3914,58;3820,64;3915,53;3865,88;3820,38;3909,97;3815,11;3964,13;3898,89;3783,06;3486,96;3550,95;3606,03;3613,67;3595,98;3597,95;3596,05;3592,07;3644,85;3659;3618,48
;08f9e0e9c66c;;;51;16.12.2025;Dienstag;Dezember;2025;92466,8;92,47;3811,17;3642,15;3805,15;3754,62;3698,84;3771,47;3819,34;3748,87;3726,48;3803,39;3842,9;3760,14;3906,92;4134,4;4030,67;3927,11;3879,78;3945,97;3957,02;3905,1;3896,93;3887,87;3904,48;3906,03
;08f9e0e9c66c;;;51;15.12.2025;Montag;Dezember;2025;90182,27;90,18;3940,71;3928,23;3857,33;3815,57;3887,9;3755,75;3906,89;3764,38;3917,9;3775,67;3954,03;3827,96;3804,24;3407,98;3486,62;3643,68;3610;3661,81;3624,64;3659,04;3829,27;3656,58;3781,32;3684,77
;08f9e0e9c66c;;;50;14.12.2025;Sonntag;Dezember;2025;93174,8;93,17;3808,43;3648,45;3799,74;3780,78;3669,2;3783,64;3811,18;3698,82;3763,88;3819,96;3790,49;3701,41;4178,23;4178,22;3996,64;3901,96;4049,68;4019,2;3945,11;3965,62;3988,37;3962,06;3961,23;3952,5
;08f9e0e9c66c;;;50;13.12.2025;Samstag;Dezember;2025;89653,63;89,65;3781,72;3862,3;3868,25;3801;3888,35;3765,14;3943,83;3974,31;3762,03;3847,86;3748,56;3779,71;3689,22;3388,85;3560,17;3580,52;3592,07;3638,34;3644,44;3665,66;3810,37;3642,83;3783,79;3634,31
;08f9e0e9c66c;;;50;12.12.2025;Freitag;Dezember;2025;92362,85;92,36;3754,98;3599,65;3732,22;3634,77;3683,38;3731,45;3625,53;3747,75;3763,97;3707,29;3698,34;3809,22;4108,1;4193,01;4078,46;4092,16;4073,94;3976,66;3878,9;3932,33;3929,54;3917,02;3880,55;3813,63
;08f9e0e9c66c;;;50;11.12.2025;Donnerstag;Dezember;2025;90231,17;90,23;3910,29;3846,03;3806,58;3900,86;3872,62;3970,72;3934,22;3960,36;3887,4;3895,75;3952,93;3726,98;3727,21;3306,2;3587,4;3596,2;3551,52;3652,15;3650,44;3645,6;3786,39;3645,63;3777,53;3640,16
;08f9e0e9c66c;;;50;10.12.2025;Mittwoch;Dezember;2025;91927,19;91,93;3636,72;3767,53;3605,58;3753,59;3602,12;3754,76;3688,82;3705,1;3785,55;3692,16;3726,86;3780,98;4195,32;4202,19;4005,86;4015,33;3905,77;3898,59;3881,29;3885,21;3891,91;3869,8;3778,73;3897,42
