Raum/Baustelle;GeräteName;GeräteID;Kostenstelle;;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;;3ce90e6f0ed8;;;51;19.12.2025;Freitag;Dezember;2025;6570,54;6,57;271,13;285,39;230,23;287,2;266,59;311,75;291,79;262,66;214,67;277,97;242,47;229,38;253,38;170,78;205,7;257,96;298,16;269,63;288,12;226,92;268;317,44;455,88;366,12
;;3ce90e6f0ed8;;;51;18.12.2025;Donnerstag;Dezember;2025;55965,39;55,97;3769,11;4001,77;3907,82;3883,98;3952,52;3939,68;3977,26;3920,14;3898,66;3889,67;3797,15;3846,96;3961,5;2613,5;193,89;192,97;231,65;320,62;296,75;257,33;255,5;267,55;285,32;304,09
;;3ce90e6f0ed8;;;51;17.12.2025;Mittwoch;Dezember;2025;53482,27;53,48;3881,65;4043,17;3685,32;3913,49;3944,55;3841,11;3993,15;4567,67;4447,59;4025,03;4383,85;4204,74;4436,37;3890,15;3704,84;3723,81;3926,3;3804,65;3793,18;3811,3;3958,67;3722,79;3858,55;3920,34
;;3ce90e6f0ed8;;;51;16.12.2025;Dienstag;Dezember;2025;40450,19;40,45;391,16;473,88;483,34;530,83;465,14;413,18;405,21;661,05;400,5;381,92;356,68;335,39;224,22;302,98;381,98;244,65;5484,4;4745,97;4068,1;3958,17;3980,2;3923,27;3918,76;3919,21
;;3ce90e6f0ed8;;;51;15.12.2025;Montag;Dezember;2025;35427,56;35,43;1638,31;1999,05;1632,4;1788,23;1746,68;2034,24;2014,55;1814,41;2065,02;2211,65;2406,22;2194,46;1524,34;1825,33;1442,33;442,82;1208,97;1865,72;1346,86;420,93;536,37;393,71;420,4;454,56
;;3ce90e6f0ed8;;;50;14.12.2025;Sonntag;Dezember;2025;46661,02;46,66;2062,54;1899,96;2025,44;1872,26;1914,56;2033,72;2234,52;2101,17;2320,88;2314,76;2168,3;2036,92;1983,99;1581,76;1339,61;1745,69;1703,44;1625,48;1783,06;1859,94;2235,2;2031,59;1943,7;1842,53
;;3ce90e6f0ed8;;;50;13.12.2025;Samstag;Dezember;2025;50985,88;50,99;2276,23;2167,85;2349,98;2203,32;2150,04;2272,31;2210,65;2280,98;2192,42;2121,7;2128,77;2214,94;2093,26;1869,89;1802,43;1748,12;2088,72;1866,18;2298,37;2045,27;2087,38;1999,75;2433,16;2084,16
;;3ce90e6f0ed8;;;50;12.12.2025;Freitag;Dezember;2025;42751,25;42,75;578,74;470,76;602,31;474,2;559,77;567,79;583,07;552,52;1478,26;950,42;2870,39;2533,78;2902,75;3476,29;3551,47;2446,43;2315,94;2194,29;2433,5;2211,45;2218,41;2217,57;2330,2;2230,94
;;3ce90e6f0ed8;;;50;11.12.2025;Donnerstag;Dezember;2025;6945,33;6,95;371,74;257,03;218,06;282,41;255,63;331,57;260,96;248,53;244,45;197,81;254,68;208,64;190,61;180,18;185,99;262,45;244,46;250,53;396,16;422,8;423,33;479,37;402,34;375,6
;;3ce90e6f0ed8;;;50;10.12.2025;Mittwoch;Dezember;2025;14436,2;14,44;267,26;220,18;276,33;307,64;268,16;277,61;374,35;806,72;942,26;1111,6;1059,63;805,96;837,51;879,21;407,07;216,89;969,28;1710,09;1347,62;367,33;219,56;313,73;230,47;219,74
;;3ce90e6f0ed8;;;50;09.12.2025;Dienstag;Dezember;2025;20940,94;20,94;223,62;319,02;217,71;228,2;244,54;207,4;391,93;778,8;1998,56;2698,05;1004,53;779,78;945,98;811,79;1874,77;798,4;1943,21;2098,34;1976,63;263,36;252,16;294,66;281,26;308,24
;;3ce90e6f0ed8;;;50;08.12.2025;Montag;Dezember;2025;24826,33;24,83;282,21;213,59;270,63;334,9;230,32;271,02;247,3;591,29;821,78;711,75;905,98;1728,8;845,32;637,39;711,69;704,6;4306,23;6405,25;3404,08;236,62;298,34;225,04;253,18;189,02
;;3ce90e6f0ed8;;;49;07.12.2025;Sonntag;Dezember;2025;6064,58;6,07;271,44;251,05;217,24;351,14;260,2;242,97;284,25;215,83;361,23;281,66;233;157,16;206,34;177,51;171,31;327,42;240,6;213,68;305,95;220,48;244,85;340,38;243;245,89
;;3ce90e6f0ed8;;;49;06.12.2025;Samstag;Dezember;2025;15885,62;15,89;526,18;429,91;598,29;450,68;445,9;566,97;397,99;400,95;551,33;1114,72;2127,07;2127,31;2094,73;333,61;409,26;420,88;242,71;403,43;636,54;269,16;375,64;297,51;305,4;359,45
;;3ce90e6f0ed8;;;49;05.12.2025;Freitag;Dezember;2025;15897,11;15,9;560,49;633,14;584,05;525,5;617,46;586,62;612,96;793,99;1102,91;1038,39;1561,85;1181,83;1427,04;373,62;424,86;404,2;466,92;502,65;392,92;365,01;466,83;450,72;369,68;453,47
;;3ce90e6f0ed8;;;49;04.12.2025;Donnerstag;Dezember;2025;15110,88;15,11;306,11;412,92;240,34;446,96;448,08;357,88;211,23;858,35;964,7;1031,82;976,86;905,92;949,46;945,71;917,4;1189,43;471,17;416,81;370,42;460,08;602,82;530,34;488,57;607,5
;;3ce90e6f0ed8;;;49;03.12.2025;Mittwoch;Dezember;2025;11325,74;11,33;388,87;408,65;246,11;407,15;483,81;362,32;384,62;351,01;1773,32;2217,4;394,16;205,9;145,15;373,82;182,28;240,7;469,69;213,4;383,25;284;353,38;312,38;444;300,37
;;3ce90e6f0ed8;;;49;02.12.2025;Dienstag;Dezember;2025;8771;8,77;241,87;396,83;384,41;385,46;474,59;431,5;360,33;387,91;398,08;327,55;465,37;300,51;199,51;384,6;295,8;188,77;512,1;361,53;384,65;417,9;219,09;394,42;502,6;355,62
;;3ce90e6f0ed8;;;49;01.12.2025;Montag;Dezember;2025;51092,22;51,09;429,11;540,76;456,19;397,94;588,73;418,82;491,06;2390,15;4359,36;5843,91;4842,09;4939,5;4565,7;4735,55;6110,92;5924,28;421,59;429,4;241,9;451,53;367,26;357,03;487,04;411,67
;;3ce90e6f0ed8;;;48;30.11.2025;Sonntag;November;2025;7635,71;7,64;274,05;272,87;266,6;216,39;250,65;264,12;437,85;323,95;328;300,84;242,76;143,96;298,68;179,55;168,64;367,73;233,93;366,95;500,15;392,77;427,37;399,4;548,38;430,12
;;3ce90e6f0ed8;;;48;29.11.2025;Samstag;November;2025;6526,62;6,53;444,88;302,27;213,92;278,98;369,55;209,65;347,36;399,45;239,5;185,81;184,51;204,52;202,4;264,55;145,15;168,19;278,02;348,25;309,79;299,58;346,82;266,64;241,96;274,87
;;3ce90e6f0ed8;;;48;28.11.2025;Freitag;November;2025;7793,98;7,79;418,11;397,91;386,68;266,15;356,09;485,95;357,31;272,59;388,5;317,22;563,15;233,2;262,09;344,28;180,12;265,97;207,66;394,75;321,28;217,61;271,11;238,14;415,95;209,57
;;3ce90e6f0ed8;;;48;27.11.2025;Donnerstag;November;2025;11314,1;11,31;380,55;573,24;614,81;466,56;611,16;405,18;600,07;579,6;411,21;636,24;335,89;615,28;371,58;378,27;614,72;405,47;464,93;367,11;466,78;510,16;396,09;417,86;421,3;270,04
;;3ce90e6f0ed8;;;48;26.11.2025;Mittwoch;November;2025;10750,44;10,75;405,63;555,2;428,24;396,97;514,09;450;486,46;566,66;413,42;384,63;474,28;351,16;232,63;362,89;362,83;308,47;395,69;407,27;558,4;464,7;605,22;434,58;548,8;642,22
;;3ce90e6f0ed8;;;48;25.11.2025;Dienstag;November;2025;10799,56;10,8;432,78;380,16;574,81;464,9;403,84;426,35;541,39;451,48;341,31;390,7;1224,65;296,58;351,17;322,75;311,08;396,11;425,97;460,95;362,49;411,13;570,51;367,88;425,19;465,38
;;3ce90e6f0ed8;;;48;24.11.2025;Montag;November;2025;10382,07;10,38;551,35;605,27;563,25;413,55;594,22;507,05;381,17;528,11;380,88;351,77;334,5;364,65;426,34;313,48;317,55;349,61;346,08;424,62;395,19;477,41;397,45;388,9;564;389,22
;;3ce90e6f0ed8;;;47;23.11.2025;Sonntag;November;2025;14526,09;14,53;805,54;629,15;630,15;679,41;786,75;639,96;818,53;740,64;565,97;717,72;567,48;437,72;495,22;547,28;426,02;505,77;611,13;414,51;608,07;576,72;632,01;638,85;584,24;467,25
;;3ce90e6f0ed8;;;47;22.11.2025;Samstag;November;2025;14110,98;14,11;615,74;672,88;646,94;663,82;792,82;612,81;675,5;602,7;700,12;609,26;536,93;517,84;331,71;372,55;480,78;421,31;525,7;464,14;626,85;581,45;689,25;635,2;663,65;671,03
;;3ce90e6f0ed8;;;47;21.11.2025;Freitag;November;2025;14958,38;14,96;607,54;609,22;629,01;636,52;782,48;767,8;805,21;838,41;673,25;752,29;627,22;562,5;561,8;332,26;478,26;358,71;553,61;601,47;670,74;623,13;618,74;659,44;574,97;633,8
;;3ce90e6f0ed8;;;47;20.11.2025;Donnerstag;November;2025;20667,37;20,67;465,23;408,57;567,88;541,24;500,76;573,05;578,75;2047,87;2121,08;782,28;2577,4;1797,59;1106,27;761,41;471,81;426,71;439,65;621,36;580,43;575,1;669,94;570,94;694,66;631,07
;;3ce90e6f0ed8;;;47;19.11.2025;Mittwoch;November;2025;30626,21;30,63;633,79;444,95;471,17;566,87;409,14;489,82;523,82;642,06;4077,95;3184,43;5678,7;2228;1784,21;1922,53;1540,77;1887,99;1063,87;429,59;352,92;413,99;458,95;468,65;477,23;474,81
