GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;e05a1b33ba98;;;51;19.12.2025;Freitag;Dezember;2025;661337,39;661,34;18162,97;19406,1;18501,27;18951,42;18791,13;20591,28;21154,03;42425,41;46736,61;47008,68;51299,19;47681,01;39875,79;39208,01;25713,98;16577,61;17627;19468,69;19497,44;21835,93;22768,4;22704,53;23250,2;22100,71
;e05a1b33ba98;;;51;18.12.2025;Donnerstag;Dezember;2025;860538,15;860,54;21267,22;20536,82;21429,68;21534,94;22117,89;23208,28;37515,73;57915;62436,65;65173,17;68034,28;59984,17;52477,17;53397,84;52120,75;39834,36;31943,96;28638,94;21640,44;22302,17;20227,58;19180,05;19377,89;18243,17
;e05a1b33ba98;;;51;17.12.2025;Mittwoch;Dezember;2025;876501,44;876,5;21226,43;21637,13;20135,19;21935,51;20495,64;21946,61;28985,78;73590,71;73501,43;66724,39;57993,27;56914,04;54380,18;50609,13;47999,48;44986,7;32472,42;29451,8;26705,54;21818,26;22831,42;20233,26;19217,05;20710,07
;e05a1b33ba98;;;51;16.12.2025;Dienstag;Dezember;2025;859197,84;859,2;23678,72;23693,06;21602,99;22823,96;22034,2;21483,04;27212,08;56416,42;64564,43;68272,83;59393,69;54057,61;49201,97;44392,76;47734,21;44624,81;45778,54;27712,74;24542,15;22236,81;24692,28;22034,54;20920,2;20093,8
;e05a1b33ba98;;;51;15.12.2025;Montag;Dezember;2025;929903,43;929,9;19253,48;20316,08;20245,9;21027,7;22771,27;23105,71;27856,38;62224,39;84861,51;77569,52;63769,77;52693,99;70055,89;63771,25;47207,86;36349,13;35442,39;34802,19;31405,31;25714,51;25551,69;22165,91;21424,58;20317,02
;e05a1b33ba98;;;50;14.12.2025;Sonntag;Dezember;2025;485492,05;485,49;21816,72;22190,13;21219,21;22191,27;21910,18;22141,72;22480,73;21196,23;22839,72;20869,42;19020,05;18000,85;17686,35;15603,65;15615,28;17247,3;19213,42;20297,02;20280,67;20190,09;21448,78;19960,04;21464,31;20608,91
;e05a1b33ba98;;;50;13.12.2025;Samstag;Dezember;2025;522450,66;522,45;20567,37;18768,86;18413,05;17941,47;19530,84;18108,33;18854,34;19530,33;17835,86;18024,97;17841,13;15975,55;16194,45;17193,17;15301,75;16970,11;30364,83;42007,38;45805,61;25785,07;22482,24;24292,64;23749,73;20911,58
;e05a1b33ba98;;;50;12.12.2025;Freitag;Dezember;2025;879188,02;879,19;25855,63;26648,34;24700,87;24665,18;25917,83;26705,18;28991,59;69636,6;72741,76;75367,06;79866,94;60354,38;67371,06;44314,84;33665,41;29102,14;27520,1;25394,71;17867,88;18173,9;19396,56;17924,67;18088,73;18916,66
;e05a1b33ba98;;;50;11.12.2025;Donnerstag;Dezember;2025;856028,76;856,03;17343,19;21009,53;18839,33;20033,28;20327,58;21100,08;24400,9;51475,51;66994,56;56698,79;63163,87;54554,23;51263,22;54664,19;45675,75;35188,95;30294,37;28496,82;28165,22;27062,66;27014,37;25431,44;24424,94;22544,11
;e05a1b33ba98;;;50;10.12.2025;Mittwoch;Dezember;2025;718668,32;718,67;18865,93;17954,54;17570,44;17237,76;15493,11;17508,64;24444,33;43282,51;54484,79;58604,89;54037,07;51714,68;45259,03;36259,44;36278,18;35857,59;30545,4;25822,85;26608,97;19007,43;18850,97;16484,09;17915,34;18580,34
;e05a1b33ba98;;;50;09.12.2025;Dienstag;Dezember;2025;857507,13;857,51;18395,52;18492,17;17617,81;16930,92;17888,33;17859;19933,29;50709,22;62154,23;72535,12;73816,83;72378,36;57100,58;50520,06;53692,47;39608,7;37263,54;33114,49;29715,34;24013,98;19830,69;18668,63;16665,34;18602,51
