GeräteName;GeräteID;;Raum;Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;;ec64c9c0797d;;;51;19.12.2025;Freitag;Dezember;2025;29926,08;29,93;27,14;27,12;27,11;27,19;27,37;71,44;12276,09;14199,06;1031,66;1028,63;730,28;27,63;27,87;27,95;120,31;27,6;27,61;27,61;27,75;27,96;28,2;27,3;27,6;27,6
;;ec64c9c0797d;;;51;18.12.2025;Donnerstag;Dezember;2025;6306,89;6,31;27,19;27,15;27,09;27,16;27,34;163,61;1039,79;1026,84;676,79;392,44;390,52;390,26;390,35;540,02;818,94;27,78;27,58;27,59;120,9;27,61;27,6;27,95;27,27;27,12
;;ec64c9c0797d;;;51;17.12.2025;Mittwoch;Dezember;2025;100302,02;100,3;389,62;387,8;389,47;389,6;389,71;438,33;6873,19;12538,5;19711,52;16198,5;18604,6;16343,8;6013;1026,13;345,42;27,14;27,41;27,6;27,5;27,65;27,95;28,14;27,88;27,23
;;ec64c9c0797d;;;51;16.12.2025;Dienstag;Dezember;2025;12638,34;12,64;27,16;26,98;27,19;27,39;27,51;45,41;1039,33;1029,34;1027,79;1021;1027,06;1026,84;1026,67;1026,07;718,13;389,97;390,47;358,01;390,64;390,42;390,38;390,48;390,92;390,63
;;ec64c9c0797d;;;51;15.12.2025;Montag;Dezember;2025;70070,21;70,07;27,78;27,57;27,84;27,8;27,68;27,52;1280,44;1394,49;1391,06;1399,08;1397,38;12981,81;19002,9;18971,4;11836,76;27,4;27,5;27,57;27,59;27,73;27,98;27,99;27,94;27
;;ec64c9c0797d;;;50;14.12.2025;Sonntag;Dezember;2025;662,54;0,66;27,8;27,7;27,95;28;27,85;27,74;27,75;27,61;27,5;27,18;27,22;27,59;27,56;27,7;27,72;27,47;27,48;27,36;27,31;27,55;27,68;27,57;27,66;27,59
;;ec64c9c0797d;;;50;13.12.2025;Samstag;Dezember;2025;28602;28,6;27,6;27,5;27,7;27,6;27,6;10984,3;12217;1037;1033;1035;1038,9;790,3;27,2;27,5;27,6;27,2;27,2;27;27;27,1;27,4;27,6;27,6;28,1
;;ec64c9c0797d;;;50;12.12.2025;Freitag;Dezember;2025;94727,98;94,73;27,95;27,42;27,51;27,53;27,62;11636,51;14830,3;12397,4;16067,68;13290,3;13728,7;12276,82;57,47;27,55;27,6;27,6;27,61;27,6;27,61;27,9;28,2;28,1;27,4;27,6
;;ec64c9c0797d;;;50;11.12.2025;Donnerstag;Dezember;2025;41212,72;41,21;27,15;27,06;27,12;27,25;27,24;29,39;868,41;1397,82;10291,73;1404,1;1401,21;906,15;761,76;7715,53;15934,6;29,56;27,1;27,15;27,19;27,45;27,52;27,76;27,83;28,1
;;ec64c9c0797d;;;50;10.12.2025;Mittwoch;Dezember;2025;655,72;0,66;27,53;27,21;27,55;27,05;27,03;26,99;27,58;27,34;26,99;27,02;26,99;27,01;27,3;27,27;27,35;27,18;27,17;27,21;27,11;27,3;27,62;27,83;28;28,09
