GeräteName;GeräteID;Kostenstelle;Raum/Baustelle;KW;Ablesedatum;Wochentag;Monat;Jahr;Verbrach [Wh];Verbrauch [kWh];01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00
;ec64c9c6a3af;;;51;19.12.2025;Freitag;Dezember;2025;91281,23;91,28;3720,19;3795,4;3832,15;3807,11;3728,13;3710,91;3750,96;3802,05;3831,06;3768,01;3857,84;3843,09;3802,36;3822,32;3816,05;3858,95;3771,27;3813,64;3784,85;3740,19;3827,2;3888,6;3831,9;3877
;ec64c9c6a3af;;;51;18.12.2025;Donnerstag;Dezember;2025;91016,07;91,02;3788,42;3958,66;3847,47;3919,02;3820,24;3761,71;3839,71;3924,97;3772,94;3773,22;3765,18;3751,19;3751,11;3740,06;3428,9;3739,77;3814,15;3797,5;3718,88;3677,62;3829,78;3763,38;3784,59;3755,98
;ec64c9c6a3af;;;51;17.12.2025;Mittwoch;Dezember;2025;91820,09;91,82;3797,24;3865,26;3840,95;3808,46;3761,28;3747,52;3908,02;3845,25;3831,91;3782,06;3860,62;3804,07;3842,44;3987,71;3819;3851,12;3809,36;3768,55;3764,96;3794,37;3875,65;3800,42;3818,3;3835,57
;ec64c9c6a3af;;;51;16.12.2025;Dienstag;Dezember;2025;91560,07;91,56;3824,9;3816,79;3856,2;3908,15;3904,59;3888,48;3878,17;3827,43;3857,44;3824,08;3828,01;3762,16;3741,81;3706,92;3707,61;3788,58;3786,61;3783,82;3803,25;3759,1;3857,44;3811,45;3857,42;3779,66
;ec64c9c6a3af;;;51;15.12.2025;Montag;Dezember;2025;91774,69;91,78;3711,93;3782,98;3945,15;3935,05;3856,95;3847,73;3864,26;3855,72;3844,79;3794,76;3796,29;3818,95;3838,77;3800,96;3845,77;3853,77;3848,07;3855,9;3715,12;3766,25;3851,28;3776,39;3825,4;3742,45
;ec64c9c6a3af;;;50;14.12.2025;Sonntag;Dezember;2025;91635,86;91,64;3860,3;3929,66;3885,83;3940,38;3839,43;3800,64;4037,38;3905,75;3904,84;3865,81;3859,18;3865,28;3877,99;3765,35;3708,07;3688,85;3727,42;3723,22;3711,91;3712,45;3811,33;3764,31;3725,99;3724,49
;ec64c9c6a3af;;;50;13.12.2025;Samstag;Dezember;2025;93042,8;93,04;3773,1;3777,8;3790,3;3756,9;3726,4;3736,1;3731,7;3750,1;3753,9;3732,6;3988,5;4068,5;4112,1;4110,8;4073,4;4051,6;4002,8;3989,4;3917,8;3914,1;3793,1;3856,7;3845,6;3789,5
;ec64c9c6a3af;;;50;12.12.2025;Freitag;Dezember;2025;90229,98;90,23;3828,53;3934,46;3919,38;3854,56;3752,66;3787,57;3812,86;3789,73;3761,28;3733,14;3731,96;3677,26;3793,13;3748,29;3699,02;3709,01;3725,88;3665,13;3672,25;3362,44;3677;3779,1;3802,5;3715,2
;ec64c9c6a3af;;;50;11.12.2025;Donnerstag;Dezember;2025;91645,5;91,64;3787,7;3912,13;3921,39;3818,3;3816,09;3739,31;3773,73;3774,19;3875,25;3807,2;3845,6;3785,69;3831,63;3867,05;3758,2;3859,5;3848,64;3754,41;3803,06;3821,39;3764,87;3822,65;3877,11;3780,41
;ec64c9c6a3af;;;50;10.12.2025;Mittwoch;Dezember;2025;91486,2;91,49;3807,76;3935,48;3910,46;3884,26;3790,07;3725,06;3833,4;3867,94;3771,99;3821,98;3808,79;3775,09;3823,33;3783,51;3438,03;3765,71;3765,56;3782,21;3828,14;3771,98;3875,59;3798;3785,09;3810,43
